age_month,sex,median,sd
0,Male,49.9,1.9
1,Male,54.7,2.0
2,Male,58.4,2.1
3,Male,61.4,2.2
4,Male,63.9,2.3
5,Male,65.9,2.4
6,Male,67.6,2.5
9,Male,72.0,2.7
12,Male,75.7,2.9
18,Male,82.3,3.1
24,Male,87.1,3.2
36,Male,96.1,3.5
48,Male,103.3,3.8
60,Male,110.0,4.1

0,Female,49.1,1.8
1,Female,53.7,1.9
2,Female,57.1,2.0
3,Female,59.8,2.1
4,Female,62.1,2.2
5,Female,64.0,2.3
6,Female,65.7,2.4
9,Female,69.9,2.6
12,Female,74.0,2.8
18,Female,80.7,3.0
24,Female,85.7,3.1
36,Female,95.1,3.4
48,Female,102.7,3.7
60,Female,109.4,4.0
